,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
799,female,group C,associate's degree,standard,none,52,55,57
471,female,group C,high school,standard,none,63,69,74
242,female,group D,high school,standard,none,56,52,55
704,female,group B,some high school,free/reduced,completed,59,63,64
839,female,group C,associate's degree,standard,none,66,77,73
84,male,group D,high school,free/reduced,none,42,39,34
531,female,group C,some high school,standard,none,47,54,53
52,male,group C,some college,standard,none,53,44,42
476,male,group E,bachelor's degree,standard,completed,76,62,66
91,male,group C,high school,free/reduced,none,27,34,36
172,female,group D,some college,standard,none,79,86,81
675,female,group B,some college,standard,completed,50,64,66
558,female,group B,associate's degree,free/reduced,none,53,70,70
532,male,group E,associate's degree,standard,completed,62,61,58
307,male,group C,some high school,standard,none,51,52,44
460,male,group C,bachelor's degree,free/reduced,none,53,58,55
348,male,group D,high school,free/reduced,none,75,74,66
693,female,group D,associate's degree,standard,none,77,77,73
196,male,group C,some high school,free/reduced,completed,59,69,65
570,male,group B,some college,standard,completed,71,75,70
896,male,group B,high school,free/reduced,none,36,29,27
525,male,group E,some college,standard,none,68,60,59
41,female,group C,associate's degree,standard,none,58,73,68
646,female,group D,associate's degree,standard,none,59,70,65
656,male,group C,associate's degree,free/reduced,none,77,67,64
241,female,group E,bachelor's degree,standard,none,80,83,83
847,male,group D,high school,standard,none,64,54,50
217,female,group C,high school,free/reduced,none,34,42,39
246,male,group E,associate's degree,standard,none,89,76,74
939,male,group D,some high school,standard,completed,77,68,69
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72
225,female,group E,master's degree,free/reduced,none,45,56,54
624,female,group E,bachelor's degree,free/reduced,none,61,58,62
451,female,group E,some college,standard,none,100,92,97
748,female,group C,bachelor's degree,free/reduced,none,50,60,59
999,female,group D,some college,free/reduced,none,77,86,86
32,female,group E,master's degree,free/reduced,none,56,72,65
946,male,group B,high school,standard,none,82,82,80
330,male,group C,high school,standard,none,71,60,61
322,female,group C,some college,standard,none,71,81,80
661,male,group C,some high school,standard,none,73,66,63
549,male,group C,master's degree,standard,none,79,72,69
802,female,group E,associate's degree,standard,none,87,94,95
825,male,group C,high school,standard,none,62,67,58
30,female,group D,some college,standard,none,69,74,74
188,male,group B,some high school,free/reduced,none,48,52,45
776,female,group B,high school,standard,none,66,72,70
950,male,group E,high school,standard,none,94,73,71
133,female,group C,some college,standard,completed,75,81,84
566,female,group E,bachelor's degree,free/reduced,completed,92,100,100
19,female,group C,associate's degree,free/reduced,none,54,58,61
591,male,group A,some high school,standard,none,71,62,50
547,male,group C,high school,standard,completed,72,67,64
773,female,group C,bachelor's degree,free/reduced,none,62,78,79
144,male,group D,some college,standard,none,88,73,78
797,female,group E,associate's degree,free/reduced,none,70,84,81
335,female,group B,some college,free/reduced,none,61,68,66
383,female,group E,some high school,free/reduced,none,38,49,45
260,female,group C,some high school,free/reduced,completed,64,79,77
539,male,group A,associate's degree,standard,completed,97,92,86
984,female,group C,some high school,standard,none,74,75,82
145,female,group C,some college,free/reduced,none,22,39,33
619,male,group C,associate's degree,free/reduced,completed,65,73,68
742,female,group C,high school,standard,none,81,84,82
135,male,group C,bachelor's degree,standard,none,58,55,48
753,female,group C,some high school,standard,completed,77,90,85
275,male,group C,bachelor's degree,standard,none,83,78,73
325,female,group C,some college,standard,none,82,90,94
747,male,group C,some college,standard,none,69,64,68
694,female,group C,some high school,standard,none,49,63,56
943,male,group A,some high school,free/reduced,completed,61,62,61
487,female,group C,associate's degree,free/reduced,none,60,75,74
72,female,group A,associate's degree,free/reduced,none,41,51,48
543,female,group D,associate's degree,standard,none,82,95,89
43,male,group B,some college,free/reduced,completed,59,65,66
224,female,group B,associate's degree,standard,completed,52,66,73
938,male,group D,some college,standard,completed,85,81,85
388,female,group D,high school,standard,none,62,64,64
725,male,group E,some college,standard,completed,81,74,71
373,female,group D,some college,standard,completed,82,97,96
171,male,group E,some high school,standard,none,94,88,78
961,female,group D,some high school,free/reduced,none,48,54,53
290,male,group C,associate's degree,standard,none,76,70,68
551,male,group B,bachelor's degree,free/reduced,completed,87,90,88
960,female,group A,some college,standard,none,56,58,64
186,male,group E,high school,standard,none,80,76,65
584,female,group D,some college,standard,none,69,77,77
524,male,group C,high school,standard,completed,53,52,49
311,male,group B,bachelor's degree,standard,none,66,60,57
292,male,group C,some high school,standard,completed,63,60,57
883,male,group D,bachelor's degree,free/reduced,none,55,46,44
905,male,group D,some college,standard,none,88,77,77
848,female,group C,high school,standard,none,59,72,68
121,male,group B,associate's degree,standard,completed,91,89,92
281,male,group D,high school,standard,none,45,48,46
537,female,group D,high school,standard,none,51,66,62
193,male,group D,some college,standard,completed,77,62,62
571,male,group A,bachelor's degree,standard,none,91,96,92
293,female,group E,bachelor's degree,standard,none,65,73,75
906,male,group B,high school,standard,none,57,48,51
111,male,group C,high school,standard,none,62,55,49
153,male,group D,bachelor's degree,standard,none,54,49,47
614,female,group A,associate's degree,standard,none,82,93,93
313,female,group C,associate's degree,free/reduced,completed,68,67,69
346,male,group B,some college,standard,none,62,61,57
299,male,group D,associate's degree,free/reduced,none,90,87,75
113,female,group D,some college,standard,none,51,58,54
791,female,group D,some college,free/reduced,none,60,66,70
922,male,group D,high school,standard,none,72,66,66
436,male,group D,associate's degree,standard,none,75,68,64
416,male,group C,bachelor's degree,standard,completed,71,74,68
344,male,group D,some college,standard,none,79,73,67
568,male,group B,high school,free/reduced,none,63,48,47
117,female,group D,bachelor's degree,standard,none,78,82,79
483,male,group A,high school,standard,none,59,52,46
713,male,group D,master's degree,standard,none,81,81,84
202,male,group C,associate's degree,standard,none,69,77,69
401,male,group A,some college,standard,none,53,43,43
208,female,group B,some college,free/reduced,none,74,81,76
657,male,group D,some high school,standard,none,69,66,61
272,female,group D,associate's degree,free/reduced,none,47,53,58
756,male,group D,some college,standard,none,55,58,52
331,male,group C,associate's degree,standard,none,47,37,35
636,female,group B,high school,free/reduced,completed,67,80,81
972,female,group A,high school,free/reduced,completed,53,50,60
917,female,group C,high school,standard,none,44,61,52
851,female,group A,high school,standard,none,61,68,63
674,female,group D,high school,standard,completed,69,77,78
803,female,group B,some college,standard,none,82,85,87
695,female,group D,some college,free/reduced,none,79,89,86
900,male,group D,master's degree,standard,none,85,84,89
988,female,group A,some high school,free/reduced,none,44,45,45
766,female,group C,high school,standard,completed,58,75,77
529,female,group C,associate's degree,standard,none,62,74,70
411,male,group E,some college,standard,completed,84,83,78
396,female,group B,high school,free/reduced,none,50,67,63
731,male,group A,some high school,free/reduced,none,55,46,43
1,female,group C,some college,standard,completed,69,90,88
268,female,group D,associate's degree,standard,completed,88,92,95
404,female,group C,high school,standard,none,54,59,62
82,male,group A,some college,free/reduced,completed,50,47,54
864,male,group C,associate's degree,standard,none,97,93,91
827,female,group C,some high school,standard,none,65,69,76
79,female,group E,master's degree,standard,none,62,68,68
955,male,group E,associate's degree,standard,none,72,57,62
884,female,group E,associate's degree,standard,none,51,51,54
12,female,group B,high school,standard,none,65,81,73
870,male,group B,high school,standard,none,59,58,47
582,female,group D,bachelor's degree,free/reduced,none,63,73,78
33,male,group D,some college,standard,none,40,42,38
846,male,group C,master's degree,standard,completed,91,85,85
724,male,group B,some college,standard,none,47,43,41
655,female,group B,some college,standard,none,62,67,67
66,male,group D,some high school,free/reduced,none,45,37,37
857,female,group C,bachelor's degree,standard,none,65,79,81
784,male,group C,bachelor's degree,standard,completed,91,81,79
541,male,group D,associate's degree,free/reduced,completed,79,82,80
625,male,group D,some college,standard,completed,100,97,99
979,female,group C,associate's degree,standard,none,91,95,94
962,female,group E,associate's degree,standard,none,100,100,100
903,female,group D,bachelor's degree,free/reduced,completed,93,100,100
782,female,group B,high school,free/reduced,completed,76,85,82
700,female,group E,bachelor's degree,standard,completed,79,81,82
615,female,group C,high school,standard,none,60,68,72
22,male,group D,some college,standard,none,44,54,53
137,male,group E,high school,standard,none,70,55,56
556,female,group C,associate's degree,standard,completed,55,72,79
967,male,group C,some college,standard,none,63,63,60
432,male,group C,high school,standard,none,61,56,55
520,male,group D,some college,standard,none,71,49,52
768,female,group D,some high school,standard,none,68,71,75
733,male,group D,some high school,standard,none,55,47,44
441,female,group D,high school,standard,none,78,81,80
0,female,group B,bachelor's degree,standard,none,72,72,74
841,male,group C,some high school,standard,none,64,58,51
37,female,group D,some high school,free/reduced,none,50,64,59
886,female,group E,associate's degree,standard,completed,93,100,95
219,male,group B,some high school,standard,completed,61,56,56
65,male,group B,some high school,standard,none,67,64,61
132,male,group E,some college,free/reduced,completed,87,74,70
630,male,group D,some college,standard,none,67,64,70
621,male,group B,bachelor's degree,free/reduced,none,62,63,56
70,female,group D,some college,free/reduced,completed,58,63,73
895,female,group E,some high school,free/reduced,none,32,34,38
315,male,group C,high school,standard,none,71,66,65
837,female,group A,high school,standard,completed,75,82,79
835,female,group C,high school,standard,completed,60,64,74
209,female,group B,some college,free/reduced,none,58,61,66
18,male,group C,master's degree,free/reduced,completed,46,42,46
527,female,group C,high school,free/reduced,none,36,53,43
744,male,group B,some college,free/reduced,none,55,55,47
400,female,group C,some high school,standard,completed,59,54,67
239,male,group C,associate's degree,standard,none,84,80,80
592,male,group E,bachelor's degree,standard,none,68,68,64
394,female,group C,some high school,standard,completed,65,74,77
329,female,group B,some high school,standard,none,41,55,51
949,female,group E,high school,free/reduced,completed,57,75,73
992,female,group D,associate's degree,free/reduced,none,55,76,76
607,female,group C,master's degree,free/reduced,none,40,58,54
106,female,group D,master's degree,standard,none,87,100,100
640,male,group D,high school,standard,none,41,52,51
376,female,group D,some high school,standard,none,80,90,82
58,male,group D,some college,standard,completed,58,59,58
5,female,group B,associate's degree,standard,none,71,83,78
994,male,group A,high school,standard,none,63,63,62
15,female,group C,some high school,standard,none,69,75,78
405,female,group C,some high school,standard,none,63,73,68
214,male,group E,high school,standard,completed,87,91,81
918,female,group C,associate's degree,standard,completed,57,77,80
951,female,group D,some college,standard,completed,75,77,83
360,female,group B,high school,standard,none,58,62,59
805,male,group A,some college,free/reduced,none,75,81,74
28,male,group C,high school,standard,none,70,70,65
608,female,group E,some college,standard,none,61,64,62
578,female,group B,some college,free/reduced,completed,48,56,58
623,male,group A,some college,standard,completed,100,96,86
438,male,group C,high school,standard,none,70,56,51
980,female,group B,high school,free/reduced,none,8,24,23
759,male,group B,some college,standard,completed,69,77,77
498,female,group B,some high school,standard,none,66,69,68
868,male,group E,associate's degree,free/reduced,completed,78,74,72
449,male,group B,associate's degree,standard,none,81,73,72
680,female,group D,high school,standard,none,67,72,74
361,male,group B,some high school,standard,completed,85,84,78
707,male,group C,some college,standard,none,66,59,52
814,female,group C,high school,standard,none,72,80,83
426,male,group C,bachelor's degree,standard,none,86,83,86
823,female,group B,high school,free/reduced,none,71,87,82
740,male,group D,bachelor's degree,standard,none,80,73,72
413,male,group B,some high school,standard,completed,63,67,67
698,female,group D,associate's degree,standard,completed,57,78,79
46,female,group A,associate's degree,standard,completed,55,65,62
966,male,group A,some high school,standard,completed,66,68,64
453,male,group C,some college,free/reduced,none,65,58,49
769,male,group A,some college,free/reduced,none,58,60,57
479,male,group E,associate's degree,standard,none,76,71,67
110,female,group D,associate's degree,free/reduced,completed,77,89,98
874,female,group C,bachelor's degree,free/reduced,none,43,62,61
440,female,group C,some college,standard,completed,67,81,79
617,male,group D,bachelor's degree,standard,none,88,78,83
124,male,group E,some college,standard,none,83,80,73
875,male,group C,some college,free/reduced,none,80,64,66
374,female,group D,bachelor's degree,standard,none,59,70,73
216,female,group E,associate's degree,free/reduced,completed,83,86,88
968,female,group E,associate's degree,standard,none,68,76,67
721,male,group D,some high school,free/reduced,completed,55,59,59
598,female,group D,high school,standard,none,69,77,73
427,male,group C,some high school,free/reduced,none,69,71,65
937,female,group E,high school,free/reduced,none,57,58,57
806,female,group D,some college,free/reduced,none,64,74,75
662,female,group D,some college,free/reduced,none,55,71,69
457,male,group D,associate's degree,free/reduced,none,53,54,48
819,female,group C,some high school,standard,none,77,91,88
482,male,group C,some college,free/reduced,none,68,68,61
730,female,group B,associate's degree,free/reduced,completed,68,77,80
127,male,group D,some college,standard,completed,65,77,74
154,male,group D,some high school,standard,none,62,67,61
871,female,group C,some college,standard,completed,70,72,76
390,male,group E,some high school,free/reduced,completed,73,67,59
530,female,group C,associate's degree,standard,completed,68,67,73
876,male,group D,some college,standard,none,81,82,84
602,female,group E,some college,standard,none,76,78,80
504,female,group D,master's degree,free/reduced,none,40,59,54
929,female,group C,some high school,free/reduced,none,48,56,51
38,female,group D,associate's degree,free/reduced,completed,75,90,88
588,female,group C,some college,standard,none,54,64,65
628,male,group D,some college,free/reduced,none,49,57,46
936,male,group A,associate's degree,standard,none,67,57,53
392,male,group E,some college,standard,none,76,67,67
855,female,group B,bachelor's degree,standard,none,97,97,96
957,female,group D,master's degree,standard,none,92,100,100
517,female,group E,some college,standard,completed,66,74,73
770,male,group B,high school,standard,none,52,48,49
559,male,group D,some high school,standard,none,73,66,62
737,female,group B,some college,free/reduced,completed,53,66,73
295,male,group B,associate's degree,free/reduced,none,67,62,60
826,female,group C,associate's degree,free/reduced,completed,56,68,70
696,female,group C,associate's degree,standard,completed,75,82,90
534,male,group B,high school,standard,completed,73,69,68
508,male,group C,master's degree,standard,none,79,78,77
908,female,group C,bachelor's degree,free/reduced,none,67,75,72
565,male,group B,associate's degree,standard,none,48,43,45
915,female,group E,some college,standard,none,68,70,66
854,male,group C,some high school,standard,none,62,64,55
44,female,group E,associate's degree,free/reduced,none,50,56,54
380,female,group B,associate's degree,standard,none,80,86,83
754,male,group C,associate's degree,free/reduced,none,58,55,53
381,male,group C,associate's degree,standard,completed,87,100,95
63,female,group C,associate's degree,standard,none,69,80,71
909,male,group E,bachelor's degree,standard,completed,70,64,70
739,male,group C,high school,free/reduced,none,61,60,55
981,male,group D,some high school,standard,none,81,78,78
494,female,group B,high school,standard,none,54,64,68
112,male,group A,associate's degree,standard,none,54,53,47
339,female,group D,some high school,free/reduced,completed,35,55,60
497,female,group D,some college,free/reduced,completed,59,78,76
317,male,group C,associate's degree,standard,none,83,72,78
55,female,group C,high school,free/reduced,none,33,41,43
749,male,group B,some college,standard,completed,87,84,86
371,female,group C,some college,free/reduced,completed,45,73,70
343,male,group D,associate's degree,standard,completed,67,72,67
27,female,group C,bachelor's degree,standard,none,67,69,75
248,female,group B,high school,standard,none,65,64,62
323,female,group C,some high school,free/reduced,none,43,53,53
369,female,group D,some high school,standard,none,73,84,85
139,male,group D,some college,standard,completed,71,61,69
157,male,group B,some college,free/reduced,none,60,60,60
600,female,group D,master's degree,standard,none,54,60,63
686,male,group E,some college,standard,completed,85,75,68
652,female,group D,some college,standard,completed,85,86,98
816,female,group A,bachelor's degree,standard,none,45,59,64
240,male,group D,high school,free/reduced,completed,73,68,66
128,male,group D,master's degree,standard,none,82,82,74
741,female,group A,associate's degree,free/reduced,none,37,57,56
352,female,group C,some college,standard,completed,63,78,80
613,female,group C,associate's degree,standard,none,65,77,74
201,female,group D,some college,free/reduced,none,65,81,77
856,male,group B,some college,free/reduced,none,75,68,65
162,male,group B,master's degree,free/reduced,none,49,53,52
103,male,group B,high school,standard,completed,60,44,47
715,female,group B,associate's degree,free/reduced,completed,76,94,87
859,male,group C,associate's degree,free/reduced,none,87,73,72
538,male,group E,bachelor's degree,standard,completed,85,66,71
57,male,group D,associate's degree,standard,none,52,55,49
518,female,group D,some high school,standard,completed,66,78,78
610,male,group D,some college,free/reduced,completed,69,60,63
2,female,group B,master's degree,standard,none,90,95,93
620,female,group C,high school,free/reduced,none,35,61,54
795,female,group E,associate's degree,free/reduced,completed,57,68,73
161,female,group E,some college,free/reduced,completed,75,88,85
685,female,group E,master's degree,standard,completed,94,99,100
102,female,group D,associate's degree,standard,none,85,91,89
101,male,group D,bachelor's degree,standard,completed,68,74,74
255,female,group E,some college,standard,none,62,73,70
544,female,group D,master's degree,standard,none,64,63,66
48,female,group D,associate's degree,free/reduced,completed,57,74,76
130,male,group D,master's degree,standard,none,89,84,82
989,female,group D,some college,free/reduced,completed,67,86,83
80,female,group B,associate's degree,standard,none,47,49,50
231,male,group C,associate's degree,standard,none,46,43,42
459,male,group B,high school,standard,completed,72,65,68
745,male,group D,associate's degree,standard,none,72,79,74
676,female,group E,some college,standard,completed,73,78,76
54,female,group C,some high school,free/reduced,completed,71,84,87
828,female,group D,some high school,free/reduced,completed,69,86,81
716,male,group C,associate's degree,standard,completed,73,78,72
522,male,group D,bachelor's degree,standard,none,69,58,57
521,female,group C,associate's degree,standard,none,91,86,84
891,female,group E,associate's degree,standard,none,85,92,85
226,female,group C,some college,standard,none,72,72,71
796,male,group D,high school,standard,none,70,70,70
223,male,group D,some high school,standard,none,86,80,75
10,male,group C,associate's degree,standard,none,58,54,52
298,male,group C,high school,free/reduced,completed,40,46,50
291,male,group D,some high school,standard,none,86,73,70
671,male,group D,associate's degree,free/reduced,none,52,57,50
276,female,group C,some high school,standard,completed,85,92,93
308,female,group B,associate's degree,free/reduced,none,53,71,67
393,male,group C,associate's degree,standard,completed,57,54,56
712,female,group D,some college,standard,none,98,100,99
679,male,group D,some college,free/reduced,none,63,61,60
872,male,group B,associate's degree,standard,completed,82,84,78
545,male,group E,some high school,free/reduced,completed,78,83,80
197,male,group E,high school,free/reduced,none,55,56,51
752,male,group C,master's degree,free/reduced,completed,79,77,75
354,female,group C,some college,standard,none,59,71,70
511,male,group A,some high school,standard,none,64,50,43
192,female,group B,some high school,standard,none,62,64,66
353,female,group C,associate's degree,standard,none,46,58,57
971,male,group C,some high school,standard,completed,78,72,69
332,male,group E,associate's degree,standard,completed,62,56,53
717,female,group C,associate's degree,standard,completed,96,96,99
156,female,group E,high school,free/reduced,completed,66,74,78
785,female,group B,some high school,standard,completed,32,51,44
631,male,group B,high school,standard,none,79,60,65
454,female,group C,associate's degree,free/reduced,none,53,61,62
540,male,group C,high school,standard,completed,75,69,68
351,male,group E,some college,standard,none,66,57,52
780,female,group D,associate's degree,free/reduced,none,46,56,57
485,male,group C,high school,standard,none,70,74,71
312,male,group D,bachelor's degree,standard,completed,67,61,68
107,male,group E,associate's degree,standard,completed,66,63,64
743,female,group C,associate's degree,standard,completed,59,73,72
431,female,group C,high school,standard,none,61,72,70
164,female,group E,master's degree,standard,none,81,92,91
104,male,group C,some college,standard,completed,98,86,90
170,male,group A,high school,standard,completed,72,73,74
689,male,group E,some college,free/reduced,none,93,90,83
641,female,group D,associate's degree,free/reduced,completed,74,88,90
735,male,group C,master's degree,standard,none,67,57,59
34,male,group E,some college,standard,none,97,87,82
703,female,group D,some college,standard,none,63,64,67
664,male,group D,associate's degree,standard,none,80,63,63
546,female,group A,some high school,standard,completed,92,100,97
684,male,group B,some college,standard,completed,62,66,68
930,male,group C,some college,free/reduced,completed,67,74,70
798,male,group E,some college,standard,none,69,60,54
412,male,group D,associate's degree,standard,none,71,66,60
583,female,group D,associate's degree,standard,completed,73,75,80
95,male,group C,associate's degree,free/reduced,completed,78,81,82
469,male,group C,some college,standard,none,91,74,76
